name,id,sector
Doosan Enerbility,34020,Heavy_Industries
Hanwha Ocean,42660,Heavy_Industries
HD Hyundai Infracore,42670,Heavy_Industries
Hyundai Rotem,64350,Heavy_Industries
CS Wind,112610,Heavy_Industries
Doosan Bobcat,241560,Heavy_Industries
HD Hyundai Electric,267260,Heavy_Industries
Hyosung Heavy Industries,298040,Heavy_Industries
HD Hyundai Heavy Industries,329180,Heavy_Industries
Doosan Robotics,454910,Heavy_Industries
Hanwha Vision,489790,Heavy_Industries
CJ Logistics,120,Industrials
LX International,1120,Industrials
Taihan Cable & Solution,1440,Industrials
SK Networks,1740,Industrials
Korean Air,3490,Industrials
POSCO Future M,3670,Industrials
LS,6260,Industrials
LS Electric,10120,Industrials
HMM,11200,Industrials
Hanwha Aerospace,12450,Industrials
S-1,12750,Industrials
Pan Ocean,28670,Industrials
POSCO International,47050,Industrials
Korea Aerospace,47810,Industrials
KEPCO KPS,51600,Industrials
L&F,66970,Industrials
LIG Nex1,79550,Industrials
Hyundai Glovis,86280,Industrials
Hanwha Systems,272210,Industrials
Doosan Fuel Cell,336260,Industrials
SK IE Technology,361610,Industrials
LG Energy Solution,373220,Industrials
Ecopro Materials,450080,Industrials
SK Hynix,660,IT
LG,3550,IT
Cosmo AM&T,5070,IT
Samsung Electronics,5930,IT
Samsung SDI,6400,IT
Samsung Electro-Mechanics,9150,IT
LG Innotek,11070,IT
Samsung SDS,18260,IT
POSCO DX,22100,IT
LG Display,34220,IT
Hanmi Semiconductor,42700,IT
LG Electronics,66570,IT
SK Square,402340,IT
Seah Besteel,1430,Steels_Materials
TCC Steel,2710,Steels_Materials
Seah Steel Holdings,3030,Steels_Materials
Hyundai Steel,4020,Steels_Materials
POSCO,5490,Steels_Materials
Sama Aluminium,6110,Steels_Materials
Youlchon Chemical,8730,Steels_Materials
Korea Zinc,10130,Steels_Materials
Dongwon Systems,14820,Steels_Materials
Poongsan,103140,Steels_Materials
